portfolio_name,date,ticker,position
테스트3_97,2022-01-20,AAPL,0.0
테스트3_97,2022-01-20,AMZN,0.0
테스트3_97,2022-01-20,MSFT,0.0
테스트3_97,2022-01-20,NVDA,0.0
테스트3_97,2022-02-03,AAPL,0.0
테스트3_97,2022-02-03,AMZN,0.0
테스트3_97,2022-02-03,MSFT,0.0
테스트3_97,2022-02-03,NVDA,0.0
테스트3_97,2022-03-02,AAPL,0.0
테스트3_97,2022-03-02,AMZN,0.0
테스트3_97,2022-03-02,MSFT,0.0
테스트3_97,2022-03-02,NVDA,0.0
테스트3_97,2022-04-01,AAPL,0.0
테스트3_97,2022-04-01,AMZN,0.0
테스트3_97,2022-04-01,MSFT,0.0
테스트3_97,2022-04-01,NVDA,0.0
테스트3_97,2022-05-02,AAPL,0.0
테스트3_97,2022-05-02,AMZN,0.0
테스트3_97,2022-05-02,MSFT,0.0
테스트3_97,2022-05-02,NVDA,0.0
테스트3_97,2022-06-02,AAPL,0.0
테스트3_97,2022-06-02,AMZN,0.0
테스트3_97,2022-06-02,MSFT,0.0
테스트3_97,2022-06-02,NVDA,0.0
테스트3_97,2022-07-01,AAPL,0.0
테스트3_97,2022-07-01,AMZN,0.0
테스트3_97,2022-07-01,MSFT,0.0
테스트3_97,2022-07-01,NVDA,0.0
테스트3_97,2022-08-01,AAPL,0.0
테스트3_97,2022-08-01,AMZN,0.0
테스트3_97,2022-08-01,MSFT,0.0
테스트3_97,2022-08-01,NVDA,0.0
테스트3_97,2022-09-01,AAPL,0.0
테스트3_97,2022-09-01,AMZN,0.0
테스트3_97,2022-09-01,MSFT,0.0
테스트3_97,2022-09-01,NVDA,0.0
테스트3_97,2022-10-04,AAPL,0.0
테스트3_97,2022-10-04,AMZN,0.0
테스트3_97,2022-10-04,MSFT,0.0
테스트3_97,2022-10-04,NVDA,0.0
테스트3_97,2022-11-01,AAPL,0.0
테스트3_97,2022-11-01,AMZN,0.0
테스트3_97,2022-11-01,MSFT,0.0
테스트3_97,2022-11-01,NVDA,0.0
테스트3_97,2022-12-01,AAPL,0.0
테스트3_97,2022-12-01,AMZN,0.0
테스트3_97,2022-12-01,MSFT,0.0
테스트3_97,2022-12-01,NVDA,0.0
