Date,exchange_rate
2003-12-01,1198.4000244140625
2003-12-02,1195.0
2003-12-03,1192.5
2003-12-04,1190.0999755859375
2003-12-05,1184.699951171875
2003-12-08,1185.5999755859375
2003-12-09,1182.699951171875
2003-12-10,1176.4000244140625
2003-12-11,1169.9000244140625
2003-12-12,1173.199951171875
2003-12-15,1179.9000244140625
2003-12-16,1179.800048828125
2003-12-17,1187.0
2003-12-18,1183.800048828125
2003-12-19,1192.800048828125
2003-12-22,1195.5
2003-12-23,1195.4000244140625
2003-12-24,1200.5
2003-12-25,1199.300048828125
2003-12-26,1200.699951171875
2003-12-29,1186.0999755859375
2003-12-30,1194.800048828125
2003-12-31,1189.9000244140625
2004-01-01,1181.5999755859375
2004-01-02,1195.800048828125
2004-01-05,1178.9000244140625
2004-01-06,1189.4000244140625
2004-01-07,1176.800048828125
2004-01-08,1171.0
2004-01-09,1181.300048828125
2004-01-12,1168.800048828125
2004-01-13,1175.300048828125
2004-01-14,1175.199951171875
2004-01-15,1174.5
2004-01-16,1186.699951171875
2004-01-19,1187.5
2004-01-20,1176.699951171875
2004-01-21,1184.199951171875
2004-01-22,1187.699951171875
2004-01-23,1175.199951171875
2004-01-26,1174.5
2004-01-27,1167.800048828125
2004-01-28,1176.4000244140625
2004-01-29,1158.199951171875
2004-01-30,1160.0
2004-02-02,1158.4000244140625
2004-02-03,1170.300048828125
2004-02-04,1168.9000244140625
2004-02-05,1157.699951171875
2004-02-06,1167.300048828125
2004-02-09,1152.800048828125
2004-02-10,1165.5999755859375
2004-02-11,1160.9000244140625
2004-02-12,1159.199951171875
2004-02-13,1159.699951171875
2004-02-16,1147.699951171875
2004-02-17,1156.9000244140625
2004-02-18,1147.699951171875
2004-02-19,1147.0
2004-02-20,1157.5
2004-02-23,1179.4000244140625
2004-02-24,1180.0999755859375
2004-02-25,1158.800048828125
2004-02-26,1165.800048828125
2004-02-27,1172.800048828125
2004-03-01,1176.9000244140625
2004-03-02,1163.0
2004-03-03,1156.5999755859375
2004-03-04,1160.0
2004-03-05,1175.699951171875
2004-03-08,1156.5999755859375
2004-03-09,1181.4000244140625
2004-03-10,1158.9000244140625
2004-03-11,1162.0
2004-03-12,1177.0
2004-03-15,1170.4000244140625
2004-03-16,1171.4000244140625
2004-03-17,1174.5
2004-03-18,1159.300048828125
2004-03-19,1170.5
2004-03-22,1163.0999755859375
2004-03-23,1163.300048828125
2004-03-24,1182.800048828125
2004-03-25,1183.5
2004-03-26,1184.300048828125
2004-03-29,1180.199951171875
2004-03-30,1178.699951171875
2004-03-31,1166.300048828125
2004-04-01,1161.5
2004-04-02,1184.0999755859375
2004-04-05,1195.4000244140625
2004-04-06,1183.800048828125
2004-04-07,1131.9000244140625
2004-04-08,1134.5
2004-04-09,1133.699951171875
2004-04-12,1135.0
2004-04-13,1142.199951171875
2004-04-14,1158.300048828125
2004-04-15,1152.199951171875
2004-04-16,1161.0
2004-04-19,1155.9000244140625
2004-04-20,1159.5999755859375
2004-04-21,1158.5999755859375
2004-04-22,1159.300048828125
2004-04-23,1156.699951171875
2004-04-26,1141.5
2004-04-27,1152.5
2004-04-28,1144.5
2004-04-29,1169.5999755859375
2004-04-30,1162.699951171875
2004-05-03,1160.0999755859375
2004-05-04,1172.4000244140625
2004-05-05,1167.800048828125
2004-05-06,1165.800048828125
2004-05-07,1159.800048828125
2004-05-10,1178.5
2004-05-11,1185.300048828125
2004-05-12,1168.5
2004-05-13,1186.699951171875
2004-05-14,1186.4000244140625
2004-05-17,1180.0999755859375
2004-05-18,1183.699951171875
2004-05-19,1173.5999755859375
2004-05-20,1174.0
2004-05-21,1172.699951171875
2004-05-24,1179.4000244140625
2004-05-25,1179.9000244140625
2004-05-26,1179.300048828125
2004-05-27,1168.9000244140625
2004-05-28,1163.699951171875
2004-05-31,1159.4000244140625
2004-06-01,1158.0
2004-06-02,1165.800048828125
2004-06-03,1163.800048828125
2004-06-04,1164.699951171875
2004-06-07,1157.199951171875
2004-06-08,1151.9000244140625
2004-06-09,1154.300048828125
2004-06-10,1159.300048828125
2004-06-11,1163.9000244140625
2004-06-14,1163.0
2004-06-15,1162.5
2004-06-16,1156.9000244140625
2004-06-17,1162.5999755859375
2004-06-18,1158.699951171875
2004-06-21,1154.300048828125
2004-06-22,1154.300048828125
2004-06-23,1158.800048828125
2004-06-24,1151.199951171875
2004-06-25,1143.699951171875
2004-06-28,1151.9000244140625
2004-06-29,1150.300048828125
2004-06-30,1155.699951171875
2004-07-01,1152.9000244140625
2004-07-02,1154.300048828125
2004-07-05,1151.800048828125
2004-07-06,1157.0
2004-07-07,1150.5
2004-07-08,1149.5999755859375
2004-07-09,1148.0999755859375
2004-07-12,1146.9000244140625
2004-07-13,1149.0999755859375
2004-07-14,1153.4000244140625
2004-07-15,1161.800048828125
2004-07-16,1163.699951171875
2004-07-19,1156.5999755859375
2004-07-20,1160.5
2004-07-21,1160.5
2004-07-22,1161.300048828125
2004-07-23,1166.5
2004-07-26,1161.199951171875
2004-07-27,1161.0999755859375
2004-07-28,1168.800048828125
2004-07-29,1168.0
2004-07-30,1170.0999755859375
2004-08-02,1165.5
2004-08-03,1164.800048828125
2004-08-04,1163.800048828125
2004-08-05,1163.699951171875
2004-08-06,1152.0
2004-08-09,1156.4000244140625
2004-08-10,1153.9000244140625
2004-08-11,1154.4000244140625
2004-08-12,1158.5
2004-08-13,1154.800048828125
2004-08-16,1158.5
2004-08-17,1157.9000244140625
2004-08-18,1156.9000244140625
2004-08-19,1155.0999755859375
2004-08-20,1151.800048828125
