Unnamed: 0,Symbol,Name,Sector,Industry
109,CFG,Citizens Financial Group,Financial Services,Banks - Regional
110,CLX,Clorox,Consumer Defensive,Household & Personal Products
111,CME,CME Group,Financial Services,Financial Data & Stock Exchanges
112,CMS,CMS Energy,Utilities,Utilities - Regulated Electric
113,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic
114,CTSH,Cognizant,Technology,Information Technology Services
115,CL,Colgate-Palmolive,Consumer Defensive,Household & Personal Products
116,CMCSA,Comcast,Communication Services,Telecom Services
117,CAG,Conagra Brands,Consumer Defensive,Packaged Foods
118,COP,ConocoPhillips,Energy,Oil & Gas E&P
119,ED,Consolidated Edison,Utilities,Utilities - Regulated Electric
120,STZ,Constellation Brands,Consumer Defensive,Beverages - Brewers
121,CEG,Constellation Energy,Utilities,Utilities - Renewable
122,COO,Cooper Companies (The),Healthcare,Medical Instruments & Supplies
123,CPRT,Copart,Industrials,Specialty Business Services
124,GLW,Corning Inc.,Technology,Electronic Components
125,CPAY,Corpay,Technology,Software - Infrastructure
126,CTVA,Corteva,Basic Materials,Agricultural Inputs
127,CSGP,CoStar Group,Real Estate,Real Estate Services
128,COST,Costco,Consumer Defensive,Discount Stores
129,CTRA,Coterra,Energy,Oil & Gas E&P
130,CRWD,CrowdStrike,Technology,Software - Infrastructure
131,CCI,Crown Castle,Real Estate,REIT - Specialty
132,CSX,CSX Corporation,Industrials,Railroads
133,CMI,Cummins,Industrials,Specialty Industrial Machinery
134,CVS,CVS Health,Healthcare,Healthcare Plans
135,DHR,Danaher Corporation,Healthcare,Diagnostics & Research
136,DRI,Darden Restaurants,Consumer Cyclical,Restaurants
137,DVA,DaVita,Healthcare,Medical Care Facilities
138,DAY,Dayforce,Technology,Software - Application
139,DECK,Deckers Brands,Consumer Cyclical,Footwear & Accessories
140,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery
141,DELL,Dell Technologies,Technology,Computer Hardware
142,DAL,Delta Air Lines,Industrials,Airlines
143,DVN,Devon Energy,Energy,Oil & Gas E&P
144,DXCM,Dexcom,Healthcare,Medical Devices
145,FANG,Diamondback Energy,Energy,Oil & Gas E&P
146,DLR,Digital Realty,Real Estate,REIT - Specialty
147,DFS,Discover Financial,Financial Services,Credit Services
148,DG,Dollar General,Consumer Defensive,Discount Stores
149,DLTR,Dollar Tree,Consumer Defensive,Discount Stores
150,D,Dominion Energy,Utilities,Utilities - Regulated Electric
151,DPZ,Domino's,Consumer Cyclical,Restaurants
152,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery
153,DOW,Dow Inc.,Basic Materials,Chemicals
154,DHI,D. R. Horton,Consumer Cyclical,Residential Construction
155,DTE,DTE Energy,Utilities,Utilities - Regulated Electric
156,DUK,Duke Energy,Utilities,Utilities - Regulated Electric
157,DD,DuPont,Basic Materials,Specialty Chemicals
158,EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals
159,ETN,Eaton Corporation,Industrials,Specialty Industrial Machinery
160,EBAY,eBay,Consumer Cyclical,Internet Retail
161,ECL,Ecolab,Basic Materials,Specialty Chemicals
162,EIX,Edison International,Utilities,Utilities - Regulated Electric
163,EW,Edwards Lifesciences,Healthcare,Medical Devices
164,EA,Electronic Arts,Communication Services,Electronic Gaming & Multimedia
165,ELV,Elevance Health,Healthcare,Healthcare Plans
166,EMR,Emerson Electric,Industrials,Specialty Industrial Machinery
167,ENPH,Enphase Energy,Technology,Solar
168,ETR,Entergy,Utilities,Utilities - Regulated Electric
169,EOG,EOG Resources,Energy,Oil & Gas E&P
170,EPAM,EPAM Systems,Technology,Information Technology Services
171,EQT,EQT Corporation,Energy,Oil & Gas E&P
172,EFX,Equifax,Industrials,Consulting Services
173,EQIX,Equinix,Real Estate,REIT - Specialty
174,EQR,Equity Residential,Real Estate,REIT - Residential
175,ERIE,Erie Indemnity,Financial Services,Insurance Brokers
176,ESS,Essex Property Trust,Real Estate,REIT - Residential
177,EL,Estée Lauder Companies (The),Consumer Defensive,Household & Personal Products
178,EG,Everest Group,Financial Services,Insurance - Reinsurance
179,EVRG,Evergy,Utilities,Utilities - Regulated Electric
180,ES,Eversource Energy,Utilities,Utilities - Regulated Electric
181,EXC,Exelon,Utilities,Utilities - Regulated Electric
182,EXPE,Expedia Group,Consumer Cyclical,Travel Services
183,EXPD,Expeditors International,Industrials,Integrated Freight & Logistics
184,EXR,Extra Space Storage,Real Estate,REIT - Industrial
185,XOM,ExxonMobil,Energy,Oil & Gas Integrated
186,FFIV,"F5, Inc.",Technology,Software - Infrastructure
187,FDS,FactSet,Financial Services,Financial Data & Stock Exchanges
188,FICO,Fair Isaac,Technology,Software - Application
189,FAST,Fastenal,Industrials,Industrial Distribution
190,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail
191,FDX,FedEx,Industrials,Integrated Freight & Logistics
192,FIS,Fidelity National Information Services,Technology,Information Technology Services
193,FITB,Fifth Third Bancorp,Financial Services,Banks - Regional
194,FSLR,First Solar,Technology,Solar
195,FE,FirstEnergy,Utilities,Utilities - Regulated Electric
196,FI,Fiserv,Technology,Information Technology Services
197,FMC,FMC Corporation,Basic Materials,Agricultural Inputs
198,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
199,FTNT,Fortinet,Technology,Software - Infrastructure
200,FTV,Fortive,Technology,Scientific & Technical Instruments
201,FOXA,Fox Corporation (Class A),Communication Services,Entertainment
202,FOX,Fox Corporation (Class B),Communication Services,Entertainment
203,BEN,Franklin Resources,Financial Services,Asset Management
204,FCX,Freeport-McMoRan,Basic Materials,Copper
