Unnamed: 0,Symbol,Name,Sector,Industry
473,VICI,Vici Properties,Real Estate,REIT - Diversified
474,V,Visa Inc.,Financial Services,Credit Services
475,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers
476,VMC,Vulcan Materials Company,Basic Materials,Building Materials
477,WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty
478,GWW,W. W. Grainger,Industrials,Industrial Distribution
479,WAB,Wabtec,Industrials,Railroads
480,WBA,Walgreens Boots Alliance,Healthcare,Pharmaceutical Retailers
481,WMT,Walmart,Consumer Defensive,Discount Stores
482,DIS,Walt Disney Company (The),Communication Services,Entertainment
483,WBD,Warner Bros. Discovery,Communication Services,Entertainment
484,WM,Waste Management,Industrials,Waste Management
485,WAT,Waters Corporation,Healthcare,Diagnostics & Research
486,WEC,WEC Energy Group,Utilities,Utilities - Regulated Electric
487,WFC,Wells Fargo,Financial Services,Banks - Diversified
488,WELL,Welltower,Real Estate,REIT - Healthcare Facilities
489,WST,West Pharmaceutical Services,Healthcare,Medical Instruments & Supplies
490,WDC,Western Digital,Technology,Computer Hardware
491,WY,Weyerhaeuser,Real Estate,REIT - Specialty
492,WMB,Williams Companies,Energy,Oil & Gas Midstream
493,WTW,Willis Towers Watson,Financial Services,Insurance Brokers
494,WYNN,Wynn Resorts,Consumer Cyclical,Resorts & Casinos
495,XEL,Xcel Energy,Utilities,Utilities - Regulated Electric
496,XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery
497,YUM,Yum! Brands,Consumer Cyclical,Restaurants
498,ZBRA,Zebra Technologies,Technology,Communication Equipment
499,ZBH,Zimmer Biomet,Healthcare,Medical Devices
500,ZTS,Zoetis,Healthcare,Drug Manufacturers - Specialty & Generic
