Symbol,Name,sector,industry
137310,에스디바이오센서,Healthcare,Medical Instruments & Supplies
161890,한국콜마,Consumer Defensive,Household & Personal Products
185750,종근당,Healthcare,Drug Manufacturers - Specialty & Generic
073240,금호타이어,Consumer Cyclical,Auto Parts
001120,LX인터내셔널,Industrials,Conglomerates
001800,오리온홀딩스,Consumer Defensive,Confectioners
005300,롯데칠성,Consumer Defensive,Beverages - Non-Alcoholic
009970,영원무역홀딩스,Consumer Cyclical,Apparel Manufacturing
010060,OCI홀딩스,Financial Services,Asset Management
011210,현대위아,Consumer Cyclical,Auto Parts
457190,이수스페셜티케미컬,Unknown,Unknown
069960,현대백화점,Consumer Cyclical,Department Stores
192080,더블유게임즈,Communication Services,Electronic Gaming & Multimedia
280360,롯데웰푸드,Consumer Defensive,Confectioners
300720,한일시멘트,Basic Materials,Building Materials
336260,두산퓨얼셀,Industrials,Electrical Equipment & Parts
014680,한솔케미칼,Basic Materials,Chemicals
001740,SK네트웍스,Industrials,Conglomerates
002710,TCC스틸,Basic Materials,Steel
003620,KG모빌리티,Consumer Cyclical,Auto Manufacturers
298020,효성티앤씨,Consumer Cyclical,Textile Manufacturing
004490,세방전지,Industrials,Electrical Equipment & Parts
039130,하나투어,Consumer Cyclical,Travel Services
004000,롯데정밀화학,Basic Materials,Chemicals
000210,DL,Basic Materials,Specialty Chemicals
298050,HS효성첨단소재,Consumer Cyclical,Textile Manufacturing
001430,세아베스틸지주,Basic Materials,Steel
001680,대상,Consumer Defensive,Packaged Foods
003030,세아제강지주,Basic Materials,Steel
004800,효성,Industrials,Conglomerates
005250,녹십자홀딩스,Healthcare,Biotechnology
005420,코스모화학,Basic Materials,Chemicals
016380,KG스틸,Basic Materials,Steel
032350,롯데관광개발,Consumer Cyclical,Resorts & Casinos
069260,TKG휴켐스,Basic Materials,Chemicals
114090,GKL,Consumer Cyclical,Resorts & Casinos
120110,코오롱인더,Basic Materials,Chemicals
145720,덴티움,Healthcare,Medical Instruments & Supplies
271940,일진하이솔루스,Consumer Cyclical,Auto Parts
285130,SK케미칼,Basic Materials,Specialty Chemicals
000670,영풍,Basic Materials,Other Industrial Metals & Mining
006110,삼아알미늄,Basic Materials,Aluminum
006650,대한유화,Basic Materials,Chemicals
008730,율촌화학,Consumer Cyclical,Packaging & Containers
178920,PI첨단소재,Basic Materials,Specialty Chemicals
093370,후성,Basic Materials,Chemicals
105630,한세실업,Consumer Cyclical,Apparel Manufacturing
009900,명신산업,Consumer Cyclical,Auto Parts
