Date,Open,High,Low,Close,Volume
2019-12-13,388872.125,392830.09375,387882.625,391840.625,90052
2019-12-16,390851.125,394809.09375,389861.625,390851.125,69165
2019-12-17,389861.625,391840.625,387882.625,390851.125,75087
2019-12-18,391840.625,392830.09375,389366.875,390356.375,76212
2019-12-19,390356.375,392335.375,389366.875,391345.875,60106
2019-12-20,391840.625,393324.84375,391345.875,392335.375,76414
2019-12-23,393819.59375,419051.75,393324.84375,418062.28125,389131
2019-12-24,417072.78125,428451.96875,411630.53125,412620.03125,172877
2019-12-26,415588.53125,415588.53125,408662.0625,409156.8125,141206
2019-12-27,414599.03125,433399.46875,410641.03125,424988.75,224976
2019-12-30,425483.5,437357.4375,423999.25,428451.96875,138300
2020-01-02,428451.96875,434883.71875,421030.75,423999.25,109430
2020-01-03,426967.75,431915.21875,414104.28125,417567.53125,125124
2020-01-06,410146.3125,412125.28125,406683.0625,407672.5625,101039
2020-01-07,411135.78125,415093.78125,406683.0625,414599.03125,86564
2020-01-08,408167.3125,410641.03125,396788.09375,404209.3125,153579
2020-01-09,412620.03125,417072.78125,411630.53125,415588.53125,87090
2020-01-10,417567.53125,434388.96875,413609.53125,431915.21875,186132
2020-01-13,434388.96875,438841.6875,430430.96875,435873.21875,125419
2020-01-14,435873.21875,437357.4375,428451.96875,430430.96875,106576
2020-01-15,428946.71875,431915.21875,425483.5,429936.21875,62002
2020-01-16,430430.96875,434388.96875,425978.25,431915.21875,70163
2020-01-17,431915.21875,434388.96875,427462.5,432409.96875,68067
2020-01-20,434388.96875,437852.1875,432904.71875,433399.46875,66867
2020-01-21,434883.71875,439831.1875,432409.96875,433399.46875,71057
2020-01-22,432409.96875,449231.40625,431915.21875,447252.40625,181555
2020-01-23,464568.59375,487821.78125,453684.15625,477926.8125,443183
2020-01-28,471989.8125,493758.75,471000.34375,488811.28125,323463
2020-01-29,490295.5,490295.5,479905.8125,485842.78125,163207
2020-01-30,485348.03125,494748.25,479905.8125,489800.75,163289
2020-01-31,489800.75,494253.5,479411.0625,479411.0625,133598
2020-02-03,471989.8125,478916.3125,460115.875,474463.5625,195305
2020-02-04,477926.8125,487821.78125,477432.0625,487327.03125,114676
2020-02-05,490295.5,494253.5,483863.78125,484853.28125,96150
2020-02-06,492274.5,517506.65625,488811.28125,513548.6875,301419
2020-02-07,515527.6875,518496.15625,504643.21875,513548.6875,127096
2020-02-10,513548.6875,528391.125,505632.71875,524433.125,154640
2020-02-11,530370.125,536307.125,518496.15625,522454.15625,172681
