Final Portfolio Value,Sharpe Ratio,MDD
2664675.4049563627,-1.4955706120343766,-0.26969969492109375
2652681.3327466673,-1.4977278796399263,-0.26969969492109375
1656855.8133378157,-1.5535725207953157,-0.2686461724798306
2018613.7716339268,-1.4981323371207578,-0.2709811452164259
1904262.7670501424,-1.549098743074964,-0.26864477444402046
1713779.4030074629,-1.6779695778310337,-0.26373620482679777
1712147.866171282,-1.6586043170335296,-0.26375354652288946
1699579.3530206324,-1.6364374639128474,-0.27076715390126377
1444893.2867511632,-1.5953576733113044,-0.2637735581494274
1810750.7497905258,-1.5314477699620244,-0.2948102109614844
1762713.5836696194,-1.643734316226855,-0.26567640301747625
2717959.9819767405,-1.4946073178993535,-0.2697044272604311
1210209.3122420323,-1.5403033407812592,-0.31063818723626635
1780309.9909763855,-1.5414306604539214,-0.2686461724798306
1211664.0683840401,-1.171668929514193,-0.33149945152973553
2598300.5652065864,-1.4864531582841611,-0.2697044272604311
1233437.748566045,-1.13450596983887,-0.4053831385514281
2083394.9623763545,-1.5352282952994627,-0.26764059297220505
1856341.2352611679,-1.8021350539349688,-0.2710235153172931
1677180.8044100748,-1.596932049254799,-0.2705833574980707
1564286.9608873916,-1.6377343138481648,-0.25575660780648485
1551689.8857993556,-1.3296069341056793,-0.27081412445392306
2009141.3958034555,-1.4970536251734345,-0.2709811452164259
2276425.3056794996,-1.5586058617755185,-0.2675145734727455
2567552.4413193944,-1.5014254934622413,-0.26969969492109375
1409974.6275569135,-1.5769925771980635,-0.2707441714536003
2153203.7182158534,-1.5514285891214799,-0.26767142822687073
1535157.4728693387,-1.3102077339706963,-0.27081412445392306
2280860.044994377,-1.5449396076146935,-0.26767142822687073
1265329.3742477517,-1.199086627217633,-0.3004031195503916
1677095.804358093,-1.5760072435294297,-0.2704205705117261
1986385.5886548348,-1.7403333796579863,-0.2538431566502602
3505019.8236390064,-1.506109411435508,-0.2710167215038979
1233092.783670469,-1.5410345341948468,-0.31063818723626635
3160849.660519052,-1.5193408788864855,-0.26970397914776567
1769165.204593012,-1.54141486467751,-0.3527599902783084
1757186.22983299,-1.6871043484444468,-0.2537776656179007
1688721.1749248903,-1.6792100819210192,-0.26373620482679777
1244785.3464306495,-1.5254497497234198,-0.35444357211786226
2137053.43388569,-1.5574135123931867,-0.26864477444402046
2628428.0445252275,-1.500083379126277,-0.26969969492109375
1769165.204593012,-1.5381836083706408,-0.3527599902783084
1249815.2428150903,-1.554317223035766,-0.2899309488750345
2069327.3123941957,-1.724414820372003,-0.2538431566502602
1855306.4678673765,-1.688691325513819,-0.2539032032185599
2567149.393888127,-1.5261095668698945,-0.27103580994282767
1715658.5317850728,-1.5230611598776038,-0.35606239034572296
1982687.0710594722,-1.4106848263097067,-0.2710761195770624
1128367.5836906862,-1.1998831543378592,-0.3677244113652204
1195401.1788807171,-1.5317817996738101,-0.3730920517109338
1913406.0019609705,-1.5370947292000332,-0.26833817922179604
2642167.4070649226,-1.4994369675259567,-0.26969969492109375
1546717.7911160556,-1.3537162979559345,-0.29482139551009445
1551689.8857993556,-1.3296069341056793,-0.27081412445392306
1653526.218952363,-1.550233705846947,-0.315905881338304
1463116.5877379472,-1.5905981477813609,-0.2637735581494274
2785154.4123698184,-1.5515635082797747,-0.267613099050088
1220584.859434872,-1.25044448681178,-0.2941301482963129
1126913.81833283,-1.1912001955650822,-0.3677244113652204
3385563.6676476393,-1.5071617685330418,-0.2676266301906362
1804691.4724968295,-1.6120515832292803,-0.25406467582183
1725139.9521619468,-1.6762851768211766,-0.2537776656179007
2533520.0906727966,-1.4841828059628674,-0.26762526020085653
2031395.9300385457,-1.7850333655432649,-0.2638530654402788
2255833.237579065,-1.7142673373450492,-0.26450855756361347
1518099.216625323,-1.3217986872162644,-0.27081412445392306
2990173.1246804907,-1.5063532861131372,-0.27095906370579287
1716503.625019753,-1.6615221336121322,-0.2540303506036377
2166504.875758878,-1.535938857654394,-0.26764059297220505
2153203.7182158534,-1.5509120648882497,-0.26767142822687073
1253438.0774780065,-1.1524908680519188,-0.33775021589763116
1562248.9778712273,-1.5601565470254646,-0.26753834939507476
1810838.2618427305,-1.7961502929539965,-0.2544316024005587
1506677.6256887987,-1.6780987156532172,-0.25402207740177396
1772141.5501468289,-1.5460396515639556,-0.315905881338304
2311338.103744149,-1.7906797748008059,-0.25397054810213043
1281883.1935921293,-1.151454629415428,-0.33775021589763116
2033606.1209779282,-1.808826298187664,-0.25397054810213043
1821657.0790078773,-1.6853340210395968,-0.271248603439114
1203889.866195172,-1.1752381136264487,-0.33149945152973553
1786835.042498844,-1.521767127787418,-0.3557350805560976
2051795.3531354654,-1.5653932642524837,-0.27095651154921957
1281443.6463260734,-1.1579704424972206,-0.33775021589763116
1705053.2890557465,-1.5683801522047236,-0.26753834939507476
1626065.4401393158,-1.5257001356396527,-0.35586070041061385
2569706.7419142663,-1.491794995145725,-0.26762526020085653
2281203.5714773536,-1.5735702540717802,-0.26972910991141513
2230197.1153840115,-1.767011905005883,-0.254119803004566
2083394.9623763545,-1.5346345996147108,-0.26764059297220505
2018613.7716339268,-1.4968318774635987,-0.2709811452164259
1762713.5836696194,-1.643734316226855,-0.26567640301747625
2087402.9179010508,-1.7822362777716545,-0.2708108724468585
1250869.2186216624,-1.1353397986011085,-0.4053831385514281
1874124.6831502756,-1.5341823901534302,-0.35481024555146723
3430302.8741049375,-1.5124119902548334,-0.2710167215038979
1809029.7030499282,-1.5477901038279296,-0.2675235981632576
1842689.6250224328,-1.5492044953880004,-0.2675235981632576
1471688.0247789393,-1.51850141143559,-0.3538783507245006
2478578.957726687,-1.4956908291110311,-0.2710089520282039
1963438.3745602595,-1.3954978763168735,-0.2710761195770624
